Isolate Name,Accession Code,Population,Year of Isolation,Serotype,Vaccine Type,ST,SequenceCluster,
SMRU839,ERR056705,Maela,2008,19F,VT,236,15,
SMRU852,ERR056718,Maela,2008,19F,VT,4414,15,
SMRU853,ERR056719,Maela,2008,19F,VT,4414,15,
SMRU854,ERR056720,Maela,2008,19F,VT,4414,15,
SMRU857,ERR056723,Maela,2008,19F,VT,4414,15,
SMRU859,ERR056725,Maela,2008,19F,VT,4414,15,
SMRU863,ERR056729,Maela,2008,19F,VT,4414,15,
SMRU864,ERR056730,Maela,2008,19F,VT,4414,15,
SMRU1418,ERR056756,Maela,2009,19F,VT,4414,15,
SMRU1423,ERR056761,Maela,2009,19F,VT,4414,15,
SMRU1450,ERR056788,Maela,2009,19F,VT,4414,15,
SMRU1453,ERR056791,Maela,2009,19F,VT,236,15,
SMRU1660,ERR056806,Maela,2009,19F,VT,4414,15,
SMRU1661,ERR056807,Maela,2009,19F,VT,236,15,
SMRU1666,ERR056812,Maela,2009,19F,VT,4414,15,
SMRU1669,ERR056815,Maela,2009,19F,VT,4414,15,
SMRU1671,ERR056817,Maela,2009,19F,VT,4414,15,
SMRU1687,ERR056833,Maela,2009,19F,VT,4414,15,
SMRU1696,ERR056842,Maela,2009,19F,VT,236,15,
SMRU1721,ERR056867,Maela,2009,19F,VT,4414,15,
SMRU1736,ERR056881,Maela,2009,19F,VT,236,15,
SMRU1739,ERR056884,Maela,2009,19F,VT,4414,15,
SMRU1561,ERR057759,Maela,2009,19F,VT,236,15,
SMRU1579,ERR057777,Maela,2009,19F,VT,4414,15,
SMRU1587,ERR057785,Maela,2009,19F,VT,4414,15,
SMRU1590,ERR057788,Maela,2009,19F,VT,4414,15,
SMRU1591,ERR057789,Maela,2009,19F,VT,4414,15,
SMRU1594,ERR057792,Maela,2009,19F,VT,4414,15,
SMRU1598,ERR057796,Maela,2009,19F,VT,4414,15,
SMRU1600,ERR057798,Maela,2009,19F,VT,4414,15,
SMRU1608,ERR057806,Maela,2009,19F,VT,4414,15,
SMRU1609,ERR057807,Maela,2009,19F,VT,4414,15,
SMRU1627,ERR057825,Maela,2009,19F,VT,4414,15,
SMRU1630,ERR057828,Maela,2009,19F,VT,4414,15,
SMRU1853,ERR057834,Maela,2009,19F,VT,4414,15,
SMRU1863,ERR057844,Maela,2009,19F,VT,4414,15,
SMRU1865,ERR057846,Maela,2009,19F,VT,4414,15,
SMRU1866,ERR057847,Maela,2009,19F,VT,4414,15,
SMRU1873,ERR057854,Maela,2009,19F,VT,4414,15,
SMRU1874,ERR057855,Maela,2009,19F,VT,4414,15,
SMRU1882,ERR057863,Maela,2009,19F,VT,4414,15,
SMRU1890,ERR057871,Maela,2009,19F,VT,236,15,
SMRU1891,ERR057872,Maela,2009,19F,VT,236,15,
SMRU1895,ERR057876,Maela,2009,19F,VT,4414,15,
SMRU1899,ERR057880,Maela,2009,19F,VT,4414,15,
SMRU1907,ERR057888,Maela,2009,19F,VT,4414,15,
SMRU1910,ERR057891,Maela,2009,19F,VT,4414,15,
SMRU1912,ERR057893,Maela,2009,19F,VT,4414,15,
SMRU1914,ERR057895,Maela,2009,19F,VT,4414,15,
SMRU1918,ERR057899,Maela,2009,19F,VT,4414,15,
SMRU1922,ERR057903,Maela,2009,19F,VT,4414,15,
SMRU1932,ERR057913,Maela,2009,19F,VT,SLV4414,15,
SMRU1948,ERR057929,Maela,2009,19F,VT,4414,15,
SMRU1950,ERR057931,Maela,2009,19F,VT,4414,15,
SMRU1954,ERR057935,Maela,2009,19F,VT,4414,15,
SMRU1965,ERR057946,Maela,2009,19F,VT,4414,15,
SMRU1968,ERR057949,Maela,2009,19F,VT,SLV4414,15,
SMRU1980,ERR057961,Maela,2009,19F,VT,4414,15,
SMRU1992,ERR057973,Maela,2009,19F,VT,236,15,
SMRU2000,ERR057981,Maela,2009,19F,VT,7991,15,
SMRU2002,ERR057983,Maela,2009,19F,VT,236,15,
SMRU2011,ERR057992,Maela,2009,19F,VT,4414,15,
SMRU2012,ERR057993,Maela,2009,19F,VT,4414,15,
SMRU1637,ERR059961,Maela,2009,19F,VT,4414,15,
SMRU1647,ERR059971,Maela,2009,19F,VT,4414,15,
SMRU1754,ERR059982,Maela,2009,19F,VT,236,15,
SMRU1755,ERR059983,Maela,2009,19F,VT,4414,15,
SMRU1765,ERR059993,Maela,2009,19F,VT,4414,15,
SMRU1768,ERR059996,Maela,2009,19F,VT,4414,15,
SMRU1772,ERR060000,Maela,2009,19F,VT,4414,15,
SMRU1774,ERR060002,Maela,2009,19F,VT,236,15,
SMRU1801,ERR060005,Maela,2009,19F,VT,4414,15,
SMRU1802,ERR060006,Maela,2009,19F,VT,4414,15,
SMRU1807,ERR060011,Maela,2009,19F,VT,4414,15,
SMRU1810,ERR060014,Maela,2009,19F,VT,236,15,
SMRU1816,ERR060020,Maela,2009,19F,VT,SLV4414,15,
SMRU1824,ERR060028,Maela,2009,19F,VT,4414,15,
SMRU1777,ERR063786,Maela,2009,19F,VT,4414,15,
SMRU1779,ERR063788,Maela,2009,19F,VT,4414,15,
SMRU1784,ERR063793,Maela,2009,19F,VT,4414,15,
SMRU1792,ERR063801,Maela,2009,19F,VT,4414,15,
SMRU1793,ERR063802,Maela,2009,19F,VT,4414,15,
SMRU2017,ERR063810,Maela,2009,19F,VT,4414,15,
SMRU2047,ERR063840,Maela,2009,19F,VT,4414,15,
SMRU2048,ERR063841,Maela,2009,19F,VT,4414,15,
SMRU2052,ERR063845,Maela,2009,19F,VT,4414,15,
SMRU2055,ERR063848,Maela,2009,19F,VT,4414,15,
SMRU2057,ERR063850,Maela,2009,19F,VT,4414,15,
SMRU2064,ERR063857,Maela,2009,19F,VT,236,15,
SMRU2078,ERR063871,Maela,2009,19F,VT,4414,15,
SMRU2085,ERR063878,Maela,2009,19F,VT,4414,15,
SMRU2091,ERR063884,Maela,2009,19F,VT,4414,15,
SMRU2092,ERR063885,Maela,2009,19F,VT,4414,15,
SMRU2103,ERR063896,Maela,2009,19F,VT,4414,15,
SMRU2105,ERR063898,Maela,2009,19F,VT,SLV4414,15,
SMRU2107,ERR063900,Maela,2009,19F,VT,4414,15,
SMRU2108,ERR063901,Maela,2009,19F,VT,4414,15,
SMRU2116,ERR063909,Maela,2009,19F,VT,236,15,
SMRU2120,ERR063913,Maela,2009,19F,VT,4414,15,
SMRU2121,ERR063914,Maela,2009,19F,VT,236,15,
SMRU2123,ERR063916,Maela,2009,19F,VT,4414,15,
SMRU2133,ERR063926,Maela,2009,19F,VT,236,15,
SMRU2135,ERR063928,Maela,2009,19F,VT,7991,15,
SMRU2142,ERR063935,Maela,2009,19F,VT,4414,15,
SMRU2152,ERR063945,Maela,2009,19F,VT,236,15,
SMRU2154,ERR063947,Maela,2009,19F,VT,4414,15,
SMRU2156,ERR063949,Maela,2009,19F,VT,4414,15,
SMRU2161,ERR063954,Maela,2009,19F,VT,4414,15,
SMRU2173,ERR063966,Maela,2009,19F,VT,4414,15,
SMRU2179,ERR063972,Maela,2009,19F,VT,4414,15,
SMRU2183,ERR063976,Maela,2009,19F,VT,4414,15,
SMRU2196,ERR063989,Maela,2009,19F,VT,4414,15,
SMRU2197,ERR063990,Maela,2009,19F,VT,4414,15,
SMRU2505,ERR064010,Maela,2010,19F,VT,4414,15,
SMRU2507,ERR064012,Maela,2010,19F,VT,236,15,
SMRU2510,ERR064015,Maela,2010,19F,VT,4414,15,
SMRU2514,ERR064019,Maela,2010,19F,VT,SLV4414,15,
SMRU3147,ERR064052,Maela,2009,19F,VT,SLV4414,15,
SMRU2678,ERR064080,Maela,2010,19F,VT,4414,15,
SMRU2680,ERR064082,Maela,2010,19F,VT,4414,15,
SMRU2691,ERR064093,Maela,2010,19F,VT,4414,15,
SMRU2695,ERR064097,Maela,2010,19F,VT,236,15,
SMRU2733,ERR064135,Maela,2010,19F,VT,236,15,
SMRU2402,ERR064140,Maela,2010,19F,VT,4414,15,
SMRU2417,ERR064155,Maela,2010,19F,VT,4414,15,
SMRU2428,ERR064166,Maela,2010,19F,VT,4414,15,
SMRU2437,ERR064175,Maela,2010,19F,VT,236,15,
SMRU2439,ERR064177,Maela,2010,19F,VT,4414,15,
SMRU2440,ERR064178,Maela,2010,19F,VT,4414,15,
SMRU2442,ERR064180,Maela,2010,19F,VT,4414,15,
SMRU2459,ERR064197,Maela,2010,19F,VT,4414,15,
SMRU2466,ERR064204,Maela,2010,19F,VT,4414,15,
SMRU2468,ERR064206,Maela,2010,19F,VT,4414,15,
SMRU2494,ERR064232,Maela,2010,19F,VT,236,15,
SMRU2496,ERR064234,Maela,2010,19F,VT,4414,15,
SMRU2214,ERR066205,Maela,2009,19F,VT,236,15,
SMRU2218,ERR066209,Maela,2009,19F,VT,4414,15,
SMRU2222,ERR066213,Maela,2009,19F,VT,4414,15,
SMRU2229,ERR066220,Maela,2009,19F,VT,4414,15,
SMRU2271,ERR066238,Maela,2009,19F,VT,4414,15,
SMRU2273,ERR066240,Maela,2009,19F,VT,4414,15,
SMRU2277,ERR066244,Maela,2009,19F,VT,4414,15,
SMRU2285,ERR066252,Maela,2010,19F,VT,4414,15,
SMRU2290,ERR066257,Maela,2010,19F,VT,4414,15,
SMRU2291,ERR066258,Maela,2010,19F,VT,236,15,
SMRU2305,ERR066272,Maela,2010,19F,VT,4414,15,
SMRU2317,ERR066284,Maela,2010,19F,VT,4414,15,
SMRU2318,ERR066285,Maela,2010,19F,VT,4414,15,
SMRU2319,ERR066286,Maela,2010,19F,VT,4414,15,
SMRU2321,ERR066288,Maela,2010,19F,VT,SLV4414,15,
SMRU2338,ERR066305,Maela,2010,19F,VT,4414,15,
SMRU2354,ERR066321,Maela,2010,19F,VT,236,15,
SMRU2370,ERR066337,Maela,2009,19F,VT,4414,15,
SMRU2381,ERR066348,Maela,2010,19F,VT,4414,15,
SMRU2384,ERR066351,Maela,2010,19F,VT,4414,15,
SMRU2560,ERR067783,Maela,2010,19F,VT,236,15,
SMRU2564,ERR067787,Maela,2010,19F,VT,236,15,
SMRU2581,ERR067804,Maela,2010,19F,VT,4414,15,
SMRU2587,ERR067810,Maela,2010,19F,VT,4414,15,
SMRU2612,ERR067835,Maela,2010,19F,VT,236,15,
SMRU2615,ERR067838,Maela,2010,19F,VT,4414,15,
SMRU2622,ERR067845,Maela,2010,19F,VT,236,15,
SMRU2624,ERR067847,Maela,2010,19F,VT,SLV4414,15,
SMRU2631,ERR067854,Maela,2010,19F,VT,SLV4414,15,
SMRU2637,ERR067860,Maela,2010,19F,VT,236,15,
SMRU2857,ERR067864,Maela,2008,19F,VT,4414,15,
SMRU2867,ERR067874,Maela,2010,19F,VT,4414,15,
SMRU2874,ERR067881,Maela,2010,19F,VT,4414,15,
SMRU2877,ERR067884,Maela,2010,19F,VT,4414,15,
SMRU2847,ERR067902,Maela,2010,19F,VT,4414,15,
SMRU2882,ERR067913,Maela,2010,19F,VT,236,15,
SMRU2883,ERR067914,Maela,2010,19F,VT,4414,15,
SMRU2887,ERR067918,Maela,2010,19F,VT,4414,15,
SMRU2898,ERR067929,Maela,2010,19F,VT,4414,15,
SMRU2901,ERR067932,Maela,2010,19F,VT,SLV4414,15,
SMRU2903,ERR067934,Maela,2010,19F,VT,4414,15,
SMRU2913,ERR067944,Maela,2010,19F,VT,236,15,
SMRU2742,ERR069592,Maela,2010,19F,VT,4414,15,
SMRU2760,ERR069610,Maela,2010,19F,VT,236,15,
SMRU2761,ERR069611,Maela,2010,19F,VT,236,15,
SMRU2763,ERR069613,Maela,2010,19F,VT,4414,15,
SMRU2765,ERR069615,Maela,2010,19F,VT,236,15,
SMRU2777,ERR069627,Maela,2010,19F,VT,4414,15,
SMRU2782,ERR069632,Maela,2010,19F,VT,4414,15,
SMRU2783,ERR069633,Maela,2010,19F,VT,236,15,
SMRU2796,ERR069646,Maela,2010,19F,VT,4414,15,
SMRU2808,ERR069658,Maela,2010,19F,VT,236,15,
SMRU2809,ERR069659,Maela,2010,19F,VT,4414,15,
SMRU2815,ERR069665,Maela,2010,19F,VT,4414,15,
SMRU2818,ERR069668,Maela,2010,19F,VT,SLV4414,15,
SMRU2822,ERR069672,Maela,2010,19F,VT,4414,15,
SMRU2828,ERR069678,Maela,2010,19F,VT,236,15,
SMRU2830,ERR069680,Maela,2010,19F,VT,4414,15,
SMRU3025,ERR072174,Maela,2010,19F,VT,236,15,
SMRU3026,ERR072175,Maela,2010,19F,VT,236,15,
SMRU3030,ERR072179,Maela,2010,19F,VT,SLV4414,15,
SMRU3041,ERR072190,Maela,2010,19F,VT,4414,15,
SMRU3042,ERR072191,Maela,2010,19F,VT,4414,15,
SMRU3048,ERR072197,Maela,2010,19F,VT,4414,15,
SMRU3054,ERR072203,Maela,2010,19F,VT,4414,15,
SMRU3063,ERR072212,Maela,2010,19F,VT,236,15,
SMRU3066,ERR072215,Maela,2010,19F,VT,4414,15,
SMRU3081,ERR072230,Maela,2010,19F,VT,4414,15,
SMRU3085,ERR072234,Maela,2010,19F,VT,4414,15,
SMRU2932,ERR084158,Maela,2010,19F,VT,4414,15,
SMRU2935,ERR084161,Maela,2010,19F,VT,236,15,
SMRU2948,ERR084174,Maela,2010,19F,VT,236,15,
SMRU2965,ERR084191,Maela,2010,19F,VT,236,15,
SMRU2975,ERR084201,Maela,2010,19F,VT,4414,15,
SMRU2977,ERR084203,Maela,2010,19F,VT,4414,15,
SMRU2247,ERR084265,Maela,2009,19F,VT,4414,15,
SMRU2250,ERR084268,Maela,2009,19F,VT,4414,15,
SMRU3122,ERR084276,Maela,2010,19F,VT,236,15,
SMRU3125,ERR084279,Maela,2010,19F,VT,236,15,
SMRU3139,ERR084293,Maela,2009,19F,VT,4414,15,
SMRU3103,ERR084305,Maela,2008,19F,VT,4414,15,
SMRU3106,ERR084308,Maela,2008,19F,VT,4414,15,
SMRU3111,ERR084313,Maela,2010,19F,VT,4414,15,
SMRU3116,ERR084318,Maela,2010,19F,VT,SLV4414,15,
SMRU3118,ERR084320,Maela,2010,19F,VT,SLV4414,15,
SMRU3120,ERR084322,Maela,2010,19F,VT,236,15,
SMRU1837,ERR089628,Maela,2009,19F,VT,236,15,
SMRU628,ERR273507,Maela,2008,19F,VT,4414,15,
SMRU642,ERR273521,Maela,2008,19F,VT,4414,15,
SMRU646,ERR273525,Maela,2008,19F,VT,4414,15,
SMRU648,ERR273527,Maela,2008,19F,VT,4414,15,
SMRU1015,ERR273534,Maela,2008,19F,VT,4414,15,
SMRU1018,ERR273537,Maela,2008,19F,VT,236,15,
SMRU374,ERR048003,Maela,2008,3,NVT,180,16,
SMRU338,ERR048063,Maela,2008,3,NVT,180,16,
SMRU1059,ERR051605,Maela,2008,3,NVT,180,16,
SMRU1455,ERR056793,Maela,2009,3,NVT,180,16,
SMRU52,ERR039611,Maela,2008,6A,VT,5477,18,
SMRU303,ERR047980,Maela,2008,23F,VT,2624,18,
SMRU396,ERR048025,Maela,2008,23F,VT,2624,18,
SMRU516,ERR048193,Maela,2008,23F,VT,2624,18,
SMRU894,ERR049965,Maela,2008,6A,VT,5477,18,
SMRU933,ERR050004,Maela,2008,6A,VT,SLV5477,18,
SMRU938,ERR050009,Maela,2008,6A,VT,SLV5477,18,
SMRU963,ERR050034,Maela,2008,23F,VT,2624,18,
SMRU979,ERR050050,Maela,2008,23F,VT,2624,18,
SMRU210,ERR050073,Maela,2008,23F,VT,2624,18,
SMRU583,ERR051417,Maela,2008,6A,VT,4966,18,
SMRU672,ERR051482,Maela,2008,23F,VT,2624,18,
SMRU1063,ERR051609,Maela,2008,6A,VT,5477,18,
SMRU1231,ERR054324,Maela,2009,6B,VT,5111,18,
SMRU1244,ERR054337,Maela,2009,6A,VT,5477,18,
SMRU1293,ERR054386,Maela,2009,6A,VT,5477,18,
SMRU1313,ERR054406,Maela,2009,23F,VT,SLV171,18,
SMRU1533,ERR054481,Maela,2009,6A,VT,5477,18,
SMRU1133,ERR054585,Maela,2009,23F,VT,SLV2624,18,
SMRU849,ERR056715,Maela,2008,6A,VT,4966,18,
SMRU1420,ERR056758,Maela,2009,23F,VT,2624,18,
SMRU1444,ERR056782,Maela,2009,6A,VT,5477,18,
SMRU1584,ERR057782,Maela,2009,23F,VT,SLV171,18,
SMRU1929,ERR057910,Maela,2009,6A,VT,4966,18,
SMRU1964,ERR057945,Maela,2009,6A,VT,4966,18,
SMRU1762,ERR059990,Maela,2009,23F,VT,SLV2624,18,
SMRU1780,ERR063789,Maela,2009,6A,VT,4966,18,
SMRU2053,ERR063846,Maela,2009,6A,VT,5477,18,
SMRU2148,ERR063941,Maela,2009,23F,VT,2624,18,
SMRU2164,ERR063957,Maela,2009,23F,VT,2624,18,
SMRU2174,ERR063967,Maela,2009,6A,VT,5477,18,
SMRU2189,ERR063982,Maela,2009,23F,VT,2624,18,
SMRU2522,ERR064027,Maela,2010,23F,VT,2624,18,
SMRU2697,ERR064099,Maela,2010,23F,VT,4936,18,
SMRU2431,ERR064169,Maela,2010,23F,VT,SLV2624,18,
SMRU2448,ERR064186,Maela,2010,23F,VT,2624,18,
SMRU2450,ERR064188,Maela,2010,6A,VT,5477,18,
SMRU2462,ERR064200,Maela,2010,23F,VT,SLV2624,18,
SMRU2654,ERR066189,Maela,2010,6A,VT,4966,18,
SMRU2269,ERR066236,Maela,2009,6A,VT,4966,18,
SMRU2270,ERR066237,Maela,2009,6A,VT,4966,18,
SMRU2552,ERR067775,Maela,2010,6A,VT,4966,18,
SMRU2557,ERR067780,Maela,2010,23F,VT,2624,18,
SMRU2574,ERR067797,Maela,2010,23F,VT,2624,18,
SMRU2603,ERR067826,Maela,2010,6A,VT,5477,18,
SMRU2852,ERR067907,Maela,2010,23F,VT,2624,18,
SMRU2886,ERR067917,Maela,2010,23F,VT,2624,18,
SMRU2893,ERR067924,Maela,2010,23F,VT,SLV2624,18,
SMRU2894,ERR067925,Maela,2010,6A,VT,4966,18,
SMRU2919,ERR067950,Maela,2010,6A,VT,4966,18,
SMRU2921,ERR067952,Maela,2010,23F,VT,2624,18,
SMRU2745,ERR069595,Maela,2010,23F,VT,2624,18,
SMRU2756,ERR069606,Maela,2010,6A,VT,4966,18,
SMRU2811,ERR069661,Maela,2010,6A,VT,4966,18,
SMRU3029,ERR072178,Maela,2010,23F,VT,SLV2624,18,
SMRU3062,ERR072211,Maela,2010,23F,VT,2624,18,
SMRU3065,ERR072214,Maela,2010,23F,VT,2624,18,
SMRU2987,ERR084213,Maela,2010,6A,VT,4966,18,
SMRU2235,ERR084253,Maela,2009,6A,VT,5477,18,
SMRU2241,ERR084259,Maela,2009,6A,VT,5477,18,
SMRU542,ERR273493,Maela,2008,23F,VT,2624,18,
SMRU647,ERR273526,Maela,2008,23F,VT,2624,18,
SMRU1443,ERR056781,Maela,2009,38,NVT,310,19,
SMRU2659,ERR066194,Maela,2010,38,NVT,310,19,
SMRU2605,ERR067828,Maela,2010,38,NVT,310,19,
SMRU392,ERR048021,Maela,2008,35F,NVT,6711,21,
SMRU399,ERR048028,Maela,2008,34,NVT,1439,21,
SMRU401,ERR048030,Maela,2008,34,NVT,1439,21,
SMRU329,ERR048054,Maela,2008,34,NVT,1439,21,
SMRU353,ERR048078,Maela,2008,34,NVT,1439,21,
SMRU357,ERR048082,Maela,2008,35F,NVT,SLV1439,21,
SMRU449,ERR048126,Maela,2008,34,NVT,1439,21,
SMRU474,ERR048151,Maela,2008,34,NVT,1439,21,
SMRU507,ERR048184,Maela,2008,34,NVT,1439,21,
SMRU526,ERR048203,Maela,2008,35C,NVT,SLV6711,21,
SMRU900,ERR049971,Maela,2008,34,NVT,1439,21,
SMRU610,ERR051444,Maela,2008,34,NVT,1439,21,
SMRU681,ERR051491,Maela,2008,34,NVT,1439,21,
SMRU698,ERR051508,Maela,2008,34,NVT,1439,21,
SMRU707,ERR051517,Maela,2008,34,NVT,1439,21,
SMRU1048,ERR051594,Maela,2008,34,NVT,1439,21,
SMRU252,ERR052589,Maela,2008,34,NVT,1439,21,
SMRU1350,ERR054227,Maela,2009,34,NVT,1439,21,
SMRU1368,ERR054245,Maela,2009,34,NVT,1439,21,
SMRU1387,ERR054264,Maela,2009,34,NVT,1439,21,
SMRU1303,ERR054396,Maela,2009,34,NVT,1439,21,
SMRU1491,ERR054440,Maela,2009,34,NVT,1439,21,
SMRU1505,ERR054453,Maela,2009,34,NVT,1439,21,
SMRU1544,ERR054492,Maela,2009,34,NVT,1439,21,
SMRU1559,ERR054507,Maela,2009,34,NVT,1439,21,
SMRU786,ERR054526,Maela,2008,34,NVT,1439,21,
SMRU810,ERR054550,Maela,2008,35F,NVT,SLV1439,21,
SMRU831,ERR056697,Maela,2008,34,NVT,1439,21,
SMRU836,ERR056702,Maela,2008,34,NVT,1439,21,
SMRU841,ERR056707,Maela,2008,34,NVT,1439,21,
SMRU842,ERR056708,Maela,2008,34,NVT,1439,21,
SMRU1712,ERR056858,Maela,2009,34,NVT,1439,21,
SMRU1563,ERR057761,Maela,2009,34,NVT,1439,21,
SMRU1621,ERR057819,Maela,2009,34,NVT,1439,21,
SMRU1628,ERR057826,Maela,2009,34,NVT,1439,21,
SMRU1889,ERR057870,Maela,2009,34,NVT,1439,21,
SMRU1938,ERR057919,Maela,2009,34,NVT,1439,21,
SMRU1986,ERR057967,Maela,2009,34,NVT,1439,21,
SMRU2010,ERR057991,Maela,2009,34,NVT,1439,21,
SMRU1639,ERR059963,Maela,2009,34,NVT,1439,21,
SMRU2019,ERR063812,Maela,2009,34,NVT,1439,21,
SMRU2024,ERR063817,Maela,2009,34,NVT,1439,21,
SMRU2138,ERR063931,Maela,2009,34,NVT,1439,21,
SMRU2146,ERR063939,Maela,2009,34,NVT,1439,21,
SMRU2195,ERR063988,Maela,2009,34,NVT,1439,21,
SMRU2445,ERR064183,Maela,2010,34,NVT,1439,21,
SMRU2454,ERR064192,Maela,2010,34,NVT,1439,21,
SMRU2490,ERR064228,Maela,2010,34,NVT,1439,21,
SMRU2642,ERR066177,Maela,2010,34,NVT,1439,21,
SMRU2648,ERR066183,Maela,2010,35F,NVT,SLV6711,21,
SMRU2228,ERR066219,Maela,2009,34,NVT,1439,21,
SMRU2325,ERR066292,Maela,2010,34,NVT,1439,21,
SMRU2328,ERR066295,Maela,2010,34,NVT,1439,21,
SMRU2344,ERR066311,Maela,2010,34,NVT,1439,21,
SMRU2563,ERR067786,Maela,2010,34,NVT,1439,21,
SMRU2579,ERR067802,Maela,2010,34,NVT,1439,21,
SMRU2911,ERR067942,Maela,2010,34,NVT,1439,21,
SMRU2912,ERR067943,Maela,2010,34,NVT,1439,21,
SMRU2764,ERR069614,Maela,2010,34,NVT,1439,21,
SMRU2788,ERR069638,Maela,2010,34,NVT,1439,21,
SMRU2795,ERR069645,Maela,2010,34,NVT,1439,21,
SMRU2816,ERR069666,Maela,2010,34,NVT,1439,21,
SMRU3045,ERR072194,Maela,2010,34,NVT,1439,21,
SMRU3058,ERR072207,Maela,2010,34,NVT,1439,21,
SMRU2955,ERR084181,Maela,2010,34,NVT,1439,21,
SMRU2957,ERR084183,Maela,2010,34,NVT,1439,21,
SMRU2979,ERR084205,Maela,2010,34,NVT,1439,21,
SMRU2997,ERR084223,Maela,2010,34,NVT,1439,21,
SMRU3007,ERR084233,Maela,2010,34,NVT,1439,21,
SMRU3008,ERR084234,Maela,2010,34,NVT,1439,21,
SMRU3014,ERR084240,Maela,2010,34,NVT,1439,21,
SMRU3015,ERR084241,Maela,2010,34,NVT,1439,21,
SMRU3109,ERR084311,Maela,2010,34,NVT,1439,21,
SMRU641,ERR273520,Maela,2008,34,NVT,1439,21,
SMRU1028,ERR273547,Maela,2008,34,NVT,1439,21,
SMRU1069,ERR051615,Maela,2008,9N,NVT,5873,22,
SMRU1477,ERR054426,Maela,2009,9N,NVT,5873,22,
SMRU1422,ERR056760,Maela,2009,9N,NVT,5873,22,
SMRU1457,ERR056795,Maela,2009,9N,NVT,5873,22,
SMRU1684,ERR056830,Maela,2009,9N,NVT,5873,22,
SMRU1967,ERR057948,Maela,2009,9L,NVT,5873,22,
SMRU2708,ERR064110,Maela,2010,9N,NVT,5873,22,
SMRU2713,ERR064115,Maela,2010,9N,NVT,5873,22,
SMRU2715,ERR064117,Maela,2010,9N,NVT,5873,22,
SMRU2723,ERR064125,Maela,2010,9N,NVT,5873,22,
SMRU2259,ERR066226,Maela,2009,9N,NVT,5873,22,
SMRU2383,ERR066350,Maela,2010,9N,NVT,5873,22,
SMRU2598,ERR067821,Maela,2010,9N,NVT,5873,22,
SMRU2601,ERR067824,Maela,2010,9N,NVT,5873,22,
SMRU2625,ERR067848,Maela,2009,9N,NVT,5873,22,
SMRU2904,ERR067935,Maela,2010,9N,NVT,5873,22,
SMRU2741,ERR069591,Maela,2010,9N,NVT,5873,22,
SMRU2832,ERR069682,Maela,2010,9N,NVT,5873,22,
SMRU133,ERR047930,Maela,2008,6B,VT,4404,24,
SMRU273,ERR047950,Maela,2008,6B,VT,4422,24,
SMRU274,ERR047951,Maela,2008,6B,VT,4422,24,
SMRU361,ERR047990,Maela,2008,6B,VT,4422,24,
SMRU362,ERR047991,Maela,2008,6B,VT,4422,24,
SMRU393,ERR048022,Maela,2008,6B,VT,6703,24,
SMRU316,ERR048041,Maela,2008,6B,VT,4404,24,
SMRU335,ERR048060,Maela,2008,6B,VT,6703,24,
SMRU343,ERR048068,Maela,2008,6B,VT,4422,24,
SMRU409,ERR048086,Maela,2008,6B,VT,4404,24,
SMRU457,ERR048134,Maela,2008,6B,VT,4422,24,
SMRU178,ERR049112,Maela,2008,6B,VT,4422,24,
SMRU224,ERR049943,Maela,2008,6B,VT,4404,24,
SMRU229,ERR049948,Maela,2008,6B,VT,4422,24,
SMRU907,ERR049978,Maela,2008,6B,VT,5116,24,
SMRU945,ERR050016,Maela,2008,6B,VT,5116,24,
SMRU948,ERR050019,Maela,2008,6B,VT,5105,24,
SMRU592,ERR051426,Maela,2008,6B,VT,4422,24,
SMRU1006,ERR051576,Maela,2008,6B,VT,4404,24,
SMRU1081,ERR051627,Maela,2008,6B,VT,4422,24,
SMRU1105,ERR051651,Maela,2008,6B,VT,4422,24,
SMRU1352,ERR054229,Maela,2009,6B,VT,6172,24,
SMRU1391,ERR054268,Maela,2009,6B,VT,4422,24,
SMRU1220,ERR054313,Maela,2009,6B,VT,4422,24,
SMRU1237,ERR054330,Maela,2009,6B,VT,4422,24,
SMRU1245,ERR054338,Maela,2009,6B,VT,6172,24,
SMRU1247,ERR054340,Maela,2009,6B,VT,4422,24,
SMRU1251,ERR054344,Maela,2009,6B,VT,6172,24,
SMRU1473,ERR054422,Maela,2009,6B,VT,95,24,
SMRU1520,ERR054468,Maela,2009,6B,VT,4422,24,
SMRU802,ERR054542,Maela,2008,6B,VT,4422,24,
SMRU874,ERR054566,Maela,2008,6B,VT,4422,24,
SMRU1134,ERR054586,Maela,2009,6B,VT,4422,24,
SMRU1145,ERR054597,Maela,2009,6B,VT,4422,24,
SMRU1156,ERR054608,Maela,2009,6B,VT,4422,24,
SMRU827,ERR056693,Maela,2008,6B,VT,4422,24,
SMRU834,ERR056700,Maela,2008,6B,VT,4422,24,
SMRU1446,ERR056784,Maela,2009,6B,VT,5127,24,
SMRU1715,ERR056861,Maela,2009,6B,VT,5127,24,
SMRU1615,ERR057813,Maela,2009,6B,VT,5127,24,
SMRU1880,ERR057861,Maela,2009,6B,VT,4422,24,
SMRU1883,ERR057864,Maela,2009,6B,VT,4422,24,
SMRU1884,ERR057865,Maela,2009,6B,VT,4422,24,
SMRU1993,ERR057974,Maela,2009,6B,VT,5127,24,
SMRU1764,ERR059992,Maela,2009,6B,VT,5127,24,
SMRU1334,ERR060042,Maela,2009,6B,VT,4422,24,
