SANGER SAMPLE ID,SANGER PLATE ID,WELL,SUPPLIER SAMPLE NAME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,COUNTRY OF ORIGIN,GEOGRAPHICAL REGION,ETHNICITY,DNA SOURCE,DATE OF SAMPLE COLLECTION (MM/YY or YYYY only),DATE OF DNA EXTRACTION (MM/YY or YYYY only),DNA EXTRACTION METHOD,SAMPLE PURIFIED?,PURIFICATION METHOD,CONCENTRATION DETERMINED BY,DNA STORAGE CONDITIONS,MOTHER (optional),FATHER (optional),SIBLING (optional),GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for EGA),PHENOTYPE (required for EGA),V33,Study ID,Lane Name,Cycles,Reads,Bases,Map Type,Reference,Reference Size,Mapper,Mapstats ID,Mapped %,Paired %,Mean Insert Size,Depth of Coverage,Depth of Coverage sd,Adapter %,Transposon %,Genome Covered,Duplication Rate,Error Rate,NPG QC,Manual QC,No. Het SNPs,% Het SNPs (Total Genome),% Het SNPs (Genome Covered),% Het SNPs (Total No. of SNPs),QC Pipeline,Mapping Pipeline,Archiving Pipeline,SNP Calling Pipeline,RNASeq Pipeline,Assembly Pipeline,Annotation Pipeline,percent_pneumo
pneuDEEP7563309,DN532009V,F1,08B08685,,97.5,216.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08685,NA,NA,5000,27689_3#50,151,5067632,765212432,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370193,82.2,81.4,476.1,283.08,131.95,0.1,NA,89.68,0.001,0.012,pass,pending,236,0.01,0.01,2.3,Done,-,Done,-,-,Done,Done,91.89
pneuDEEP7563310,DN532009V,G1,08B08812,,97.5,165.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08812,NA,NA,5000,27630_2#129,151,4569284,689961884,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335578,82.2,81.3,526.4,255.3,173.7,0.1,NA,86.71,0.0012,0.013,pass,pending,172,0.01,0.01,1.74,Done,-,Done,-,-,Done,Done,92.2
pneuDEEP7563311,DN532009V,H1,08B08915,,97.5,95.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08915,NA,NA,5000,27630_2#130,151,4513834,681588934,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335581,69,68.3,526.3,211.8,103.8,0.1,NA,89.13,0.001,0.013,pass,pending,8042,0.36,0.42,57.79,Done,-,Done,-,-,Done,Done,77.7
pneuDEEP7563312,DN532009V,A2,08B08251,,97.5,33.1,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08251,NA,NA,5000,27630_2#133,151,5156444,778623044,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335584,87.9,87,479.9,307.93,193.9,0.1,NA,88.2,9e-04,0.013,pass,pending,175,0.01,0.01,1.84,Done,-,Done,-,-,Done,Done,92.89
pneuDEEP7563315,DN532009V,D2,08B08482,,97.5,164.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08482,NA,NA,5000,27689_3#52,151,5133604,775174204,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370196,86.3,85.5,472.6,301.14,216.51,0.1,NA,86.49,0.0015,0.012,pass,pending,188,0.01,0.01,1.89,Done,-,Done,-,-,Done,Done,95.06
pneuDEEP7563317,DN532009V,F2,08B08700,,97.5,275.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08700,NA,NA,5000,27689_3#54,151,5073224,766056824,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370199,71.6,70.9,462.9,246.89,138.6,0.1,NA,87.65,0.0012,0.012,pass,pending,219,0.01,0.01,2.24,Done,-,Done,-,-,Done,Done,80.69
pneuDEEP7563318,DN532009V,G2,08B08823,,97.5,494.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08823,NA,NA,5000,27689_3#55,151,4491992,678290792,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370202,74.9,74.1,511.6,228.54,160.2,0.1,NA,87.11,0.0013,0.013,pass,pending,164,0.01,0.01,1.71,Done,-,Done,-,-,Done,Done,84.16
pneuDEEP7563320,DN532009V,A3,08B08252,,97.5,137.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08252,NA,NA,5000,27630_2#143,151,4309130,650678630,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335599,86,85.2,517.9,252,115.2,0.1,NA,88.78,8e-04,0.014,pass,pending,180,0.01,0.01,1.79,Done,-,Done,-,-,Done,Done,92.39
pneuDEEP7563321,DN532009V,B3,08B08338,,97.5,126.4,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08338,NA,NA,5000,27689_3#57,151,4525698,683380398,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370205,80.8,80,504.4,248.46,174,0,NA,86.95,0.0014,0.012,pass,pending,184,0.01,0.01,1.86,Done,-,Done,-,-,Done,Done,92.23
pneuDEEP7563323,DN532009V,D3,08B08484,,97.5,234.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08484,NA,NA,5000,27689_3#59,151,5115582,772452882,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370208,85.6,84.7,489.7,297.64,208.81,0,NA,86.58,0.0014,0.012,pass,pending,186,0.01,0.01,1.93,Done,-,Done,-,-,Done,Done,95.2
pneuDEEP7563326,DN532009V,G3,08B08825,,97.5,138.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08825,NA,NA,5000,27630_2#147,151,4844354,731497454,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335605,86.5,85.9,484.2,284.9,144.62,0.1,NA,84.47,8e-04,0.013,pass,pending,150,0.01,0.01,1.57,Done,-,Done,-,-,Done,Done,92.6
pneuDEEP7563327,DN532009V,H3,08B08924,,97.5,113.4,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08924,NA,NA,5000,27630_2#148,151,4742252,716080052,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335608,83.4,82.6,498.8,268.8,118.23,0.1,NA,92.42,7e-04,0.013,pass,pending,8619,0.39,0.43,58.88,Done,-,Done,-,-,Done,Done,91.86
pneuDEEP7563332,DN532009V,E4,08B08572,,97.5,282,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08572,NA,NA,5000,27689_3#69,151,4469420,674882420,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370241,87.2,86.5,479,264.84,118.98,0,NA,88.98,0.001,0.012,pass,pending,206,0.01,0.01,2.01,Done,-,Done,-,-,Done,Done,93.62
pneuDEEP7563333,DN532009V,F4,08B08723,,97.5,158,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08723,NA,NA,5000,27630_2#152,151,5094148,769216348,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335614,84,83.3,461.2,290.71,196.35,0.1,NA,88.37,0.0011,0.013,pass,pending,515,0.02,0.03,5.15,Done,-,Done,-,-,Done,Done,94.62
pneuDEEP7563335,DN532009V,H4,08B08946,,97.5,12.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08946,NA,NA,5000,27630_2#156,151,4645816,701518216,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335620,77.9,77.1,495.2,245.91,109.55,0.1,NA,93.05,7e-04,0.013,pass,pending,8296,0.37,0.41,58.47,Done,-,Done,-,-,Done,Done,87.56
pneuDEEP7563337,DN532009V,B5,08B08355,,97.5,99.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08355,NA,NA,5000,27630_2#160,151,4299078,649160778,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335626,79.1,78.4,523.2,231.3,83.52,0.1,NA,98.91,6e-04,0.01,pass,pending,10992,0.49,0.5,97.34,Done,-,Done,-,-,Done,Done,84.45
pneuDEEP7563338,DN532009V,C5,08B08432,,97.5,197.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08432,NA,NA,5000,27689_3#71,151,4984528,752663728,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370244,86.3,85.6,470.6,292.39,202.93,0,NA,86.55,0.0013,0.012,pass,pending,198,0.01,0.01,2.06,Done,-,Done,-,-,Done,Done,95.48
pneuDEEP7563340,DN532009V,E5,08B08579,,97.5,271.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08579,NA,NA,5000,27689_3#75,151,5285078,798046778,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370250,81.1,80.4,465,291.34,135.66,0,NA,88.59,0.0011,0.012,pass,pending,235,0.01,0.01,2.32,Done,-,Done,-,-,Done,Done,92.98
pneuDEEP7563341,DN532009V,F5,08B08745,,97.5,188.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08745,NA,NA,5000,27689_3#77,151,5230974,789877074,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370253,83.8,82.9,461.9,297.85,206.29,0.1,NA,88.28,0.0013,0.012,pass,pending,210,0.01,0.01,2.15,Done,-,Done,-,-,Done,Done,91.18
pneuDEEP7563342,DN532009V,G5,08B08836,,97.5,153.3,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08836,NA,NA,5000,27630_2#163,151,4042706,610448606,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335629,74.7,73.8,529,205.26,151.5,0.1,NA,86.76,0.0013,0.013,pass,pending,172,0.01,0.01,1.81,Done,-,Done,-,-,Done,Done,88.28
pneuDEEP7563345,DN532009V,B6,08B08357,,97.5,189.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08357,NA,NA,5000,27689_3#79,151,4769814,720241914,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370256,82.6,81.8,495.2,267.82,175,0.1,NA,90,0.0012,0.012,pass,pending,804,0.04,0.04,8.2,Done,-,Done,-,-,Done,Done,92.21
pneuDEEP7563347,DN532009V,D6,08B08533,,97.5,197.2,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08533,NA,NA,5000,27689_3#81,151,5084592,767773392,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370259,79.4,78.6,481.7,274.4,136.57,0.1,NA,89.71,0.0012,0.012,pass,pending,166,0.01,0.01,1.68,Done,-,Done,-,-,Done,Done,89.73
pneuDEEP7563348,DN532009V,E6,08B08583,,97.5,162.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08583,NA,NA,5000,27630_2#171,151,4550626,687144526,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335641,84.3,83.4,534.3,260.7,129.24,0.1,NA,86.87,0.001,0.013,pass,pending,273,0.01,0.01,2.71,Done,-,Done,-,-,Done,Done,93.8
pneuDEEP7563349,DN532009V,F6,08B08746,,97.5,79.1,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08746,NA,NA,5000,27630_2#172,151,4017496,606641896,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335644,77.1,76.3,555.9,210.48,93.66,0.1,NA,89.98,8e-04,0.014,pass,pending,143,0.01,0.01,1.42,Done,-,Done,-,-,Done,Done,84.27
pneuDEEP7563350,DN532009V,G6,08B08854,,97.5,86.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08854,NA,NA,5000,27630_2#175,151,4229506,638655406,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335647,79.3,78.5,540.2,228.06,125.76,0.1,NA,87.28,0.001,0.013,pass,pending,145,0.01,0.01,1.67,Done,-,Done,-,-,Done,Done,87.9
pneuDEEP7563353,DN532009V,B7,08B08362,,97.5,154,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08362,NA,NA,5000,27689_3#83,151,4545084,686307684,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370262,80.1,79.3,506.9,247.32,168,0,NA,86.88,0.0016,0.012,pass,pending,184,0.01,0.01,1.88,Done,-,Done,-,-,Done,Done,90.53
pneuDEEP7563354,DN532009V,C7,08B08450,,97.5,115.4,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08450,NA,NA,5000,27630_2#181,151,4520344,682571944,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335656,75.4,74.5,540,231.66,106.26,0.1,NA,91.05,9e-04,0.014,pass,pending,9155,0.41,0.47,62.51,Done,-,Done,-,-,Done,Done,87.54
pneuDEEP7563355,DN532009V,D7,08B08535,,97.5,44.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08535,NA,NA,5000,27630_2#182,151,4798046,724504946,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335659,78.7,77.7,526.8,256.55,177.73,0.1,NA,86.63,0.0011,0.013,pass,pending,151,0.01,0.01,1.57,Done,-,Done,-,-,Done,Done,90.08
pneuDEEP7563356,DN532009V,E7,08B08595,,97.5,178.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08595,NA,NA,5000,27689_3#85,151,4068686,614371586,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370265,73.4,72.6,491.2,202.86,97.56,0.1,NA,92.03,0.001,0.013,pass,pending,6520,0.29,0.33,50.77,Done,-,Done,-,-,Done,Done,81.53
pneuDEEP7563357,DN532009V,F7,08B08765,,97.5,248.1,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08765,NA,NA,5000,27689_3#87,151,4699162,709573462,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370268,81.8,81,498.7,261.24,174.16,0.1,NA,86.73,0.0012,0.012,pass,pending,185,0.01,0.01,1.96,Done,-,Done,-,-,Done,Done,92.56
pneuDEEP7563358,DN532009V,G7,08B08857,,97.5,18.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08857,NA,NA,5000,27630_2#185,151,5033476,760054876,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335662,85.3,84.5,482.3,291.76,202.23,0.1,NA,86.21,9e-04,0.013,pass,pending,175,0.01,0.01,1.79,Done,-,Done,-,-,Done,Done,92.77
pneuDEEP7563359,DN532009V,H7,08B08990,,97.5,255.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08990,NA,NA,5000,27689_3#89,151,4976846,751503746,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370271,89.2,88.5,477,301.56,145.88,0.1,NA,87.98,0.001,0.012,pass,pending,193,0.01,0.01,1.91,Done,-,Done,-,-,Done,Done,93.84
pneuDEEP7563361,DN532009V,B8,08B08374,,97.5,47.1,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08374,NA,NA,5000,27630_2#186,151,4821156,727994556,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335665,72.1,71.1,518.4,236.18,207.2,0.1,NA,89.25,0.002,0.013,pass,pending,202,0.01,0.01,2.08,Done,-,Done,-,-,Done,Done,80.65
pneuDEEP7563362,DN532009V,C8,08B08461,,97.5,184.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08461,NA,NA,5000,27689_3#93,151,4700882,709833182,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370277,86.8,86,473.3,277.48,128.17,0,NA,90.92,9e-04,0.013,pass,pending,8910,0.4,0.45,58.08,Done,-,Done,-,-,Done,Done,91.61
pneuDEEP7563363,DN532009V,D8,08B08538,,97.5,76.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08538,NA,NA,5000,27630_2#2,151,4252198,642081898,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335668,83.6,82.7,559.7,241.74,163.98,0.1,NA,86.57,0.0012,0.014,pass,pending,133,0.01,0.01,1.37,Done,-,Done,-,-,Done,Done,92.16
pneuDEEP7563364,DN532009V,E8,08B08596,,97.5,128.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08596,NA,NA,5000,27630_2#4,151,4463354,673966454,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335671,81,80.1,529.1,245.7,120.42,0.1,NA,88.76,9e-04,0.013,pass,pending,178,0.01,0.01,1.77,Done,-,Done,-,-,Done,Done,85.77
pneuDEEP7563367,DN532009V,H8,08B08992,,97.5,131.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08992,NA,NA,5000,27630_2#8,151,3756296,567200696,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335677,71.4,70.6,531.7,182.35,92.1,0.1,NA,88.98,0.001,0.014,pass,pending,179,0.01,0.01,1.82,Done,-,Done,-,-,Done,Done,80.69
pneuDEEP7563368,DN532009V,A9,08B08299,,97.5,32.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08299,NA,NA,5000,27630_2#10,151,4996026,754399926,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335680,60.9,60.2,525.3,206.85,117.11,0.1,NA,89.62,0.0015,0.014,pass,pending,176,0.01,0.01,1.82,Done,-,Done,-,-,Done,Done,80.53
pneuDEEP7563369,DN532009V,B9,08B08378,,97.5,17,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08378,NA,NA,5000,27630_2#12,151,3988550,602271050,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335683,63.6,62.9,503.7,172.26,106.8,0.1,NA,87.27,0.0011,0.013,pass,pending,167,0.01,0.01,1.8,Done,-,Done,-,-,Done,Done,75.92
pneuDEEP7563370,DN532009V,C9,08B08462,,97.5,62.4,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08462,NA,NA,5000,27630_2#14,151,4689650,708137150,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335686,67.5,66.7,508.7,215.25,137.83,0.1,NA,89.02,0.001,0.013,pass,pending,125,0.01,0.01,1.32,Done,-,Done,-,-,Done,Done,80.75
pneuDEEP7563373,DN532009V,F9,08B08776,,97.5,173.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08776,NA,NA,5000,27689_3#99,151,4704376,710360776,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370286,83.2,82.4,480.4,265.93,131.67,0.1,NA,89.9,8e-04,0.012,pass,pending,8564,0.39,0.44,60.97,Done,-,Done,-,-,Done,Done,92.61
pneuDEEP7563375,DN532009V,H9,08B08993,,97.5,18.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08993,NA,NA,5000,27630_2#18,151,4097046,618653946,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335692,67.9,67,539.3,189,100.32,0.1,NA,89.01,0.0011,0.014,pass,pending,209,0.01,0.01,2.17,Done,-,Done,-,-,Done,Done,80.91
pneuDEEP7563377,DN532009V,B10,08B08381,,97.5,177,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08381,NA,NA,5000,27689_3#103,151,4374062,660483362,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370292,86.3,85.3,515,256.44,186.96,0,NA,86.56,0.0015,0.012,pass,pending,172,0.01,0.01,1.74,Done,-,Done,-,-,Done,Done,95.51
pneuDEEP7563378,DN532009V,C10,08B08465,,97.5,217.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08465,NA,NA,5000,27689_3#105,151,4950566,747535466,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2370295,93.1,92.5,482.1,313.39,134.54,0.1,NA,91.63,8e-04,0.01,pass,pending,158,0.01,0.01,2.07,Done,-,Done,-,-,Done,Done,92.58
pneuDEEP7563382,DN532009V,G10,08B08872,,97.5,42.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08872,NA,NA,5000,27630_2#24,151,4001994,604301094,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2335701,85.9,85.1,526.5,233.7,122.04,0.1,NA,88.97,0.001,0.013,pass,pending,122,0.01,0.01,1.22,Done,-,Done,-,-,Done,Done,91.51
